Question type;explanation
Specific question; Questions asking for specific or single materials in the catalogue.
Set question ;Questions that expect a set of materials from the catalogue as the answer. An example is suggest 3 games for 4th grade?
Comparison question; Questions that may compare two entities, such as who started performing earlier, Adele or Ed Sheeran?
Aggregation question; Questions that may need aggregation of retrieval results to answer, for example, how many Oscar awards did Meryl Streep win?
Multi-hop questions; Questions that may require chaining multiple pieces of information to compose the answer, such as who acted in Ang Lee's latest movie?
Post-processing question; Questions that need reasoning or processing of the retrieved information to obtain the answer, for instance, How many days did Thurgood Marshall serve as a Supreme Court justice?
Summarize question;Describe a subject in few sentences
No information question;Questions that there is no information about
(Overly) polite;Questions with added filler words and/or constructions denoting politeness to different degrees
Simple question;Questions asking for simple facts, such as the birth date of a person and the authors of a book.
