query;question_type;link_to_answer_1;link_to_answer_2;link_to_answer_3;link_to_answer_4;link_to_answer_5;text_snippet_1;text_snippet_2
Kan jeg låne en ethjulet cykel?;specific;Krigen på cykelstien;Ethjulet cykel;Bella, Boris og Berta ( 3 );Europe's Cycling Revolution?;Tjen på udlejning;"Dokumentet ""Ethjulet cykel"" nævner, at man kan bruge en ethjulet cykel i idrætsundervisningen, cirkusforestillinger eller i SFO'en. Der står intet om at låne en.";
Er der digte af Yahya Hassan i kataloget?;specific;Yahya Hassan 2;Yahya Hassan;YAHYA – det blev sagt;Deadline ( 03.05.2020 );Yahya Hassan og de politiserede mediers tyranni;"Ja, der er materiale om Yahya Hassan i kataloget. Dokumenterne beskriver hans digtsamling ""Yahya Hassan 2: digte"" og nævner, at den hurtigt blev udsolgt i 100.000 eksemplarer. Materialet indeholder også information om hans liv, baggrund og det kunstneriske eftermæle.";
Kan du finde bowling for columbine til mig?;specific;Bowling for Columbine;Bullying;Mit barn blev skoleskyder;Tæt på Michael Moore;Looking for Alaska ( 7 );"Dokumenterne indikerer, at ""Bowling for Columbine"" er en film af Michael Moore, der undersøger årsagerne til Columbine High School-massakren i 1999. Filmen fokuserer på adgangen til skydevåben i USA.";
Jeg skal bruge en sætningslæseprøve?;specific;Sætningslæseprøve 2;Sætningslæseprøve 1;Sætningslæseprøve 2;Sætningslæseprøve 2;Sætningslæseprøve 1;"Dokumenterne beskriver ""Sætningslæseprøve 1-2"", som afdækker elevernes færdigheder i sætningslæsning fra skolestart til slutningen af mellemtrinnet. Prøverne består af et billede, der skal kombineres med en af fire sætninger, og sværhedsgraden varierer fra simple sætninger til mere komplicerede. Resultatet kan både vise elevens nuværende niveau og det niveau, eleven er på vej til at beherske.";
Kan du foreslå 3 spil med ord til 5. klasse?;set;Klog på sprog;Rimlotto;Orddomino;Sprog på spil;Stav 5 Stavning, grammatik, skrivning 5. klasse, Elevens bog;Ja, jeg har fundet flere relevante dokumenter, der kan hjælpe dig med din søgning efter ordspil til 5. klasse: Klog på sprog: Dette spil træner sproglige forudsætninger gennem spørgsmål inden for forskellige kategorier som overbegreber, rim, synonymer, ords betydning og idiomer. Det er velegnet til 2-5 deltagere og findes i to sværhedsgrader. Rimlotto: Dette er et lottospil i ord og billeder, der styrker ordforrådet og den fonologiske opmærksomhed. Det er egnet til indskoling og specialundervisning og kan også bruges som et memoryspil. Orddomino: Dette spil anvendes til at udvide elevernes ordforråd og ordforståelse samt den morfematiske bevidsthed i forbindelse med sammensatte ord.;
Kan du foreslå et sæt materialer til et tema om Zlatan Ibrahimovic?;set;Jeg er Zlatan Ibrahimovic;Jeg er Zlatan;Den unge Zlatan;I Zlatans fodspor ( 2 );Den unge Zlatan;"Ja, jeg kan det. Ud fra de dokumenter, jeg har, kan jeg foreslå følgende materialer til et tema om Zlatan Ibrahimovic: ""Jeg er Zlatan Ibrahimovic: Min historie"": Dette er selvbiografien, der giver et indblik i Zlatans liv, fra opvæksten i Rosengård til hans succes som fodboldspiller. ""Jeg er Zlatan Ibrahimovic: Filmen"": Denne film er baseret på bogen og kan bruges til at visualisere Zlatans historie. Den egner sig især godt til danskfaget i forhold til nordisk sprog, biografi og drama. ""Den unge Zlatan: Svensk portræt"": Denne dokumentarfilm giver et portræt af Zlatan Ibrahimovic og hans vej fra ghettoen til international fodboldstjerne. Den skildrer hans debut for Malmö FF, hans turbulente år i Ajax Amsterdam og hans endelige gennembrud i Juventus. ""I Zlatans fodspor. Del 2:8"": Dette afsnit introducerer Zaman Zadran, et af de unge talenter, som Zlatan udvalgte. Dokumentaren giver et indblik i, hvad det kræver for at lykkes i den store fodboldverden. ""Den unge Zlatan: Dokumentarfilm"": Denne film følger Zlatans karriere fra begyndelsen, fra debuten for Malmö FF, over de problematiske år i Ajax Amsterdam og frem til det endelige gennembrud i Juventus. Disse materialer dækker både Zlatans personlige historie, hans karriere og hans indflydelse på det svenske samfund.";
Jeg skal bruge 4 forskellige materialer om Vikinger?;set;Farvel til vikingetiden;Gunløg Ormstunge : Islandimiut oqaluttuatoqaataat;Vikingarven;Leif Erikssøn - på togt med Leif den Lykkelige : Historie / Samfundsfag : 4134-01;Og gjorde danerne kristne : om årene 900-1120;"Jeg kan se, at jeg har fundet fire dokumenter, der kan være relevante for dit spørgsmål om vikinger: Farvel til vikingetiden: Dette dokument diskuterer, hvad begrebet ""viking"" egentlig indebærer, hvordan det er blevet brugt og misbrugt gennem historien, og hvilken rolle vikingetiden spiller for vores identitet og selvforståelse i dag. Gunnløg Ormstunge : Islandimiut oqaluttuatoqaataat: Selvom teksten er på grønlandsk, handler den om vikinger og deres samfund på Island. Vikingarven: Dette dokument fortæller om et lokalt fællesskab, der bygger vikingeskibe. Leif Erikssøn - på togt med Leif den Lykkelige: Dette dokument handler om de nordatlantiske vikinger og deres kvinder. Og gjorde danerne kristne: Dette dokument beskriver vikingerne og deres samfund, samt opbygningen af den danske stat.";Er disse materialer relevante for din søgning?
Kan du foreslå en række materialer der kan bruges til en idrætstime i 2. klasse?;set;Krop skal der til;Tjek på idræt : Tema og teori: Idræt;Kropsuddannelsen : - et spring i den rigtige retning;TV-udsendelse med pædagogisk vejledning;Tjek på idræt : Lærervejledning;"Jeg har fundet flere relevante dokumenter, der kan være nyttige til en idrætstime i 2. klasse. ""Krop skal der til"" kan give dig inspiration til at skabe bedre fysisk trivsel for børn i folkeskolen. selvom den primært fokuserer på et bredere perspektiv, kan den hjælpe dig med at overveje skolens rolle i at fremme børns fysiske aktiviteter og trivsel. Tjek på idræt : Lærervejledning fremhæver vigtigheden af energi, fælles oplevelser, koncentration og begejstring i idrætsundervisningen. Den understreger fokus på kropslige og idrætsfaglige færdigheder, samarbejde, kreativitet og udvikling af idrætsaktiviteter. Dette kan oversættes direkte til aktiviteter og mål for 2. klasse. Tjek på idræt : Tema og teori er primært rettet mod 8. og 9. klasse, men kan give dig idéer til, hvordan du kan integrere teori om krop og træning i undervisningen på et mere grundlæggende niveau. ""T. Kropsuddannelsen : - et spring i den rigtige retning"" kan være nyttig, da den indeholder materiale inddelt efter niveauer, herunder indskoling. Den giver en begrundelse for fysisk aktivitet og kropslige færdigheder, hvilket kan bruges til at introducere vigtigheden af idræt for 2. klassestræk. TV-udsendelse med pædagogisk vejledning er specifikt designet til 4. klasse, men diskussionerne om fair play kan tilpasses til 2. klasse.";
Ifølge Tjen på udlejning tjener man som privat udlejer mest i København eller Århus?;comparison;Tjen på udlejning;Boligmarkedet;De riges by : på desperat boligjagt;De riges by : beboerne gør oprør;Deadline;"Ifølge dokumentet ""Tjen på udlejning"" tjener man som privat udlejer mest i København. Man tjener gennemsnitligt 6.500 kroner i løbet af tre måneder, mens man i Aarhus tjener 4.500 kroner over samme periode.";
Hvad er forskellen på lille nørd og store nørd?;comparison;Den moderne verden indefra: algoritmer;Buddha;Lavinehunden;NØRD - ultra:bit;Varmluftballonen;"Baseret på de dokumenter, jeg har modtaget, kan jeg fortælle dig, at forskel på ""Lille Nørd"" og ""Store Nørd"". ""Lille Nørd"" er med i udsendelser om bl.a. Buddha og lavinehunde, mens ""Store Nørd"" er med i ""Varmluftballonen"". Det ser ud til, at ""Store Nørd"" laver vilde maskiner og eksperimenter.";
Hvor mange episoder af vores mødre, vores fædre er der i kataloget?;aggregation;Nana ( 1 );Vores mødre, vores fædre ( 3 );Hvorfor går mor ikke hjemme?;Unsere Mütter, unsere Väter - Ihr Schmerz, ihre Schuld, ihr Schweigen;Danmarks største youtuber ( 7 );"Jeg har fundet et dokument, der nævner ""Vores mødre, vores fædre"". Dokumentet beskriver det som en tysk tv-mini-serie i tre dele. Så der er 3 dele af serien i MitCFU kataloget.";
Hvor mange spil har du i dit katalog?;aggregation;Hånddukker;For enden af regnbuen;Læseguld;E-sport;Forfatterskabslæsning 1 - Ole Lund Kirkegaard;"Ud fra de dokumenter jeg har modtaget, kan jeg se, at der er flere spil i MitCFU-kataloget. Der er ""For enden af regnbuen: et spil om livsvalg"" og ""Læseguld"", som indeholder 12 spil. Det er dog ikke sikkert, at dette er alle spillene i kataloget.";
Hvad egner sig bedst til danskundervisning. En digtsamling af Yahya Hassan eller en episode af vores mødre, vores fædre?;multi-hop;YAHYA – det blev sagt;Deadline ( 12.11.2019 );Yahya Hassan 2;Konspirationskulten Qanon;Yahya Hassan og de politiserede mediers tyranni;"Ud fra de dokumenter jeg har modtaget, er det primært Yahya Hassans digtsamling ""Yahya Hassan 2"" der egner sig til danskundervisning. Dokumenterne beskriver digtsamlingen som et fortsættelse af hans ""banebrydende debut"" og tager fat på emner som berømmelse, stofmisbrug og vold. Der henvises også til en samtale med ham og litterater, der diskuterer digtsamlingens kvaliteter.";"Jeg har ingen information om ""Vores mødre, vores fædre"" i de dokumenter, jeg er blevet præsenteret for. Derfor kan jeg ikke vurdere dens egnethed til danskundervisning."
