query,question_type,answer,link_to_answer_1,link_to_answer_2,paragraph_1,paragraph_2,text_snippet_1,text_snippet_2
Hvor kommer aboriginere fra?,simple,Australien,https://faktalink.dk/titelliste/abor,,Indledning,,Aboriginerne er Australiens oprindelige folk,
Hvilket år blev det forbudt for lærere at slå elever i skolen?,simple,1967,https://faktalink.dk/folkeskolen,,Hvordan udviklede folkeskolen sig i 1960erne?,,"Hvor det tidligere havde været tilladt at bruge afstraffelse med spanskrør og andet, blev det med ”Cirkulære om ro og orden §8” fra 1967 forbudt for lærerne at slå eleverne",
Hvornår blev H.C. Andersen født?,simple,2. april 1805,https://faktalink.dk/titelliste/hcan,,Hvordan var H.C. Andersens opvækst?,,H.C. Andersen blev født den 2. april 1805,
Hvornår startede det Arabiske forår?,simple,December 2010,https://faktalink.dk/titelliste/det-arabiske-foraar-1,,Hvor opstod Det Arabiske Forår?,,Det Arabiske Forår startede i Tunesien i december 2010,
"Hvad kaldes tiden, som fulgte Wall Street-krakket i 1929?",simple,Den store Depression,https://faktalink.dk/titelliste/wall,,Historiske datoer for New York Stock Exchange.,,Krakket kommer til at markere starten på den store depression.,
Hvilke lande er Kashmir delt mellem?,set,"Indien, Pakistan og Kina",https://faktalink.dk/titelliste/kami,,Hvad er Kashmir?,,"Kashmir er en stat, der er delt (dele af lokalbefolkningen siger besat) mellem Indien, Pakistan og Kina",
Hvilke to begivenheder i 1700-tallet kaldes for skelsættende for demokratiets historie?,set,Den amerikanske revolution og den franske revolution,https://faktalink.dk/titelliste/demokratiets-historie,,Hvilken rolle spillede den franske og den amerikanske revolution?,,De to skelsættende begivenheder i demokratiets historie i 1700-tallet er henholdsvis den amerikanske og den franske revolution,
Hvilke ledere har Nordkorea haft?,set,"Kim Jong-un, Kim Il-Sung og Kim Jong-il",https://faktalink.dk/nordkorea,,Hvordan og af hvem ledes Nordkorea?,,"Styreformen er lukket og totalitær, og landet ledes i dag af Kim Jong-un, barnebarn af Kim Il-Sung, Nordkoreas første leder. Kim Jong-un overtog magten fra sin far Kim Jong-il, der overtog magten fra sin far Kim Il-Sung i 1994 og regerede frem til sin død i 2011.",
Hvilke to supermagter var involveret i Cubakrisen?,set,USA og Sovjetunionen,https://faktalink.dk/titelliste/cubakrisen,,Hvad var Cubakrisen?,,Cubakrisen var efterkrigstidens mest alvorlige konfrontation mellem de to supermagter USA og Sovjetunionen. ,
Hvilke partier bestod firkløverregeringen af?,set,"Det Konservative Folkeparti, Venstre, Centrum-Demokraterne og Kristeligt Folkeparti",https://faktalink.dk/1980erne,,Hvad var firkløverregeringen?,,"I 1982 kom den borgerlige regering under navnet ”Firkløverregeringen” til magten uden et valg. Den bestod af de fire borgerlige partier Det Konservative Folkeparti, Venstre, Centrum-Demokraterne og Kristeligt Folkeparti.",
Bor der flest indianere i Alaska eller i Montana?,comparison,Alaska,https://faktalink.dk/titelliste/indianere-i-nordamerika,,Hvem er de nordamerikanske indianere i dag? ,,"Andelen af indianere er særlig stor i Alaska (19,6 procent af befolkningen), Oklahoma (13,4 procent), New Mexico (10,4 procent), South Dakota (10,0 procent) og Montana (8,1 procent).",
"Var der i 2017 ifølge undersøgelsen ""Danskernes sundhed – den nationale sundhedsprofil 2017” fleste piger eller drenge som var svært overvægtige?",comparison,Piger,https://faktalink.dk/titelliste/overvaegtige-boern-og-unge,,Hvor mange børn og unge er overvægtige i Danmark?,,"Den viser, at blandt de 16-24-årige er forekomsten af svært overvægtige: · for drenge: 6,6% · for piger: 8,8%",
Fik kvinder i Danmark eller England først stemmeret?,comparison,Danmark,https://faktalink.dk/titelliste/feminister-og-roedstroemper,,Hvornår fik kvinder i andre lande stemmeret?,,"Landene listes i kronologisk rækkefølge: · 1893: New Zealand · 1902: Australien · 1906: Finland · 1907: Norge · 1915: Danmark og Island · 1917: Sovjetunionen · 1918: Canada, England",
I hvilket land sælger IKEA mest?,comparison,Tyskland,https://faktalink.dk/titelliste/ikea,,Hvor stor er IKEA’s omsætning?,,"De lande, der sælger mest, er: · Tyskland: 15% · USA: 11% · Frankrig: 10% · Italien: 7% · Sverige: 6%",
"Hvor mange år havde Walt Disney været død, da Disney lavede filmen ""den lille havfrue""?",aggregation,23 år,https://faktalink.dk/titelliste/walt-disney,https://faktalink.dk/titelliste/havf,Hvordan var Walt Disneys ungdom?,Disney's havfruefilm,Walter Elias Disney (1901-1966),I 1989 forelå Walt Disney's tegnefilm 'The Little Mermaid' instrueret af Ron Clements og John Musker.
Hvor mange år gik der fra det første internationale møde i Amnesty til der åbnede en dansk Amnesty afdeling?,aggregation,3 år,https://faktalink.dk/titelliste/amnesty-international,,Hvornår blev Amnestys danske afdeling oprettet?,Hvordan opstod Amnesty?,Amnesty åbnede en dansk afdeling i 1964,"Det, der siden skulle blive til Amnesty International, begyndte ifølge organisationens hjemmeside (se kilder) i 1961"
Hvor mange år gik der fra 2. verdenskrig sluttede til Danmark officielt blev anerkendt som en del af de allierede styrker?,aggregation,69 år,https://faktalink.dk/titelliste/2-verdenskrig,,Indledning,Hvem var de allierede?,Krigen – hvis væbnede konflikter kom til at berøre adskillige lande i næsten alle verdensdele – sluttede med først Tysklands og derpå Japans kapitulation i foråret og sommeren 1945,"I artiklen ”Danmark anerkendt som allieret” på tv2.dk (se kilder) fortælles det, at Danmark først i 2014 blev anerkendt som en del af de allierede styrker"
"Hvor gammel var Bill Gates, da Mark Zuckerberg grundlagde Facebook?",aggregation,48 år,https://faktalink.dk/titelliste/facebook,https://faktalink.dk/titelliste/microsoft,Hvem skabte Facebook?,Hvem er Bill Gates?,"Allerede da han gik på gymnasiet, var han ivrig programmør, og mens han gik på Harvard University, grundlagde han i februar 2004 Facebook sammen med to medstuderende, Andrew McCollum og Eduardo Saverin","Bill Gates bliver født den 28. oktober 1955 i Seattle, Washington"
Hvem spillede det danske landshold i mod i deres aller første VM ottendelsfinale? ,multi-hop,Spanien,https://faktalink.dk/titelliste/vmif,,Hvilken rolle har Danmark spillet ved VM i fodbold? ,,Det danske landshold debuterede i en VM-slutrunde i 1986,"I ottendedelsfinalen – efter det indledende puljespil – var det dog slut for Danmark, der løb ind i et nederlag til Spanien på 1-5. "
"Hvornår blev hooligangruppen, som støtter Brøndby IF dannet?",multi-hop,1992,https://faktalink.dk/titelliste/hooligans,,Hvilke hooligangrupper findes i Danmark?,,South Side United støtter Brøndby IF og har eksisteret siden 1992. ,
Hvor mange flere pladser er der kommet i Europa-Parlamentet fra da Danmark kom med og til i dag?,multi-hop,522,https://faktalink.dk/titelliste/eupa,,Hvordan opstod Europa-Parlamentet?,,"Antallet af pladser i Europa-Parlamentet er løbende blevet øget. Fra 198 pladser i 1972, hvor Danmark kom med i EF, til 720 pladser efter valget i 2024",
Var Berlinmuren længere end den kinesiske mur?,multi-hop,nej,https://faktalink.dk/titelliste/kimu,https://faktalink.dk/titelliste/berlinmuren,Hvad er den kinesiske mur?,Hvad var Berlinmuren?,"Ifølge det amerikanske rumagentur NASA er muren på satellitfoto dog målt til kun at være 3.000 km, oplyser artiklen","Muren var en 45,1 km lang betonmur"
Hvor mange uger anbefalede Det Etiske Råd i Danmark i 2023 at flytte abortgrænsen?,post_processing,6 uger,https://faktalink.dk/titelliste/abort,,Indledning,,"I september 2023 anbefalede Det Etiske Råd i Danmark, at abortgrænsen flyttes til den 18. graviditetsuge i stedet for den nuværende grænse, der ligger ved udgangen af den 12. graviditetsuge",
"Hvor mange flere dage med hedebølge forudsiger DMI, at vi vil have i Danmark i år 2100?",post_processing,21 dage,https://faktalink.dk/titelliste/klimaforandringer,,Hvad betyder klimaforandringerne for mennesker i Danmark?,,"Ifølge Danmarks Meteorologiske Instituts (DMI’s) Klimaatlas, som man kan læse om i artiklen på dmi.dk ”Vejret i Danmark bliver varmere, vådere og vildere”) (se kilde 7), skal vi frem til år 2100 vænne os til markante ændringer i vejret, fx en gennemsnitlig temperaturstigning på cirka 3,4 grader og flere og længere hede- og varmebølger (formodentlig 30 dages hedebølge årligt mod typisk ni dage om året nu). ",
Hvor mange mennesker søgte asyl i Danmark til sammen i 2014 og 2015?,post_processing,36108 mennesker,https://faktalink.dk/titelliste/asyl,,Hvor mange personer bor på asylcentrene?,,"Tal fra Udlændingestyrelsen (se kilder) viser, at antallet af mennesker, der søgte asyl i Danmark, har været stigende frem til 2015, men at antallet derefter har været faldende igen: 2008: 2.409 mennesker 2009: 3.855 mennesker 2010: 5.115 mennesker 2011: 3.806 mennesker 2012: 6.184 mennesker 2013: 7.557 mennesker 2014: 14.792 mennesker 2015: 21.316 mennesker 2016: 6.266 mennesker 2017: 3.500 mennesker 2018: 3.559 mennesker 2019 pr. 30.09: 1.912 mennesker",
"Hvor mange officerer og underofficerer har mistet livet, mens de har arbejdet for den franske fremmedlegion? ",post_processing,4078,https://faktalink.dk/titelliste/frem,,Hvad er den franske Fremmedlegion?,,"Legionen blev oprettet i 1831, og siden da har den taget livet af 902 officerer, 3.176 underofficerer",
Hvornår underskrev Christian d. 4 . Grundloven?,false_premise,Det gjorde han ikke. Det gjorde Frederik d. 7. den 5. juni 1849,https://faktalink.dk/folkeskolens-historiekanon-17-grundloven-1849,,Indledning,,"Grundloven fra 1849 er den første frie forfatning for Danmark. Junigrundloven, som den også kaldes, blev vedtaget og underskrevet af kong Frederik d. 7. den 5. juni 1849.",
Hvilken dato i 1943 blev Danmark besat af Tyskland?,false_premise,"Danmark blev ikke besat af Tyskland i 1943, men den 9. april 1940",https://faktalink.dk/titelliste/besa,,Indledning,,Den 9. april 1940 blev Danmark besat.,
"Hvor gammel var Bill Gates, da han grundlagde Facebook?",false_premise,"Det var ikke Bill Gates som grundlagde Facebook. Det gjorde Mark Zuckerberg, da han var 20 år gammel",https://faktalink.dk/titelliste/facebook,,Hvem skabte Facebook?,,Mark Elliot Zuckerberg er manden bag Facebook. ,
